Borough,Employment Rate (%),Male Employment Rate (%),Female Employment Rate (%),Unemployment Rate (%),Youth Unemployment Rate (18-24) (%)
City of London,64.6,79.415625,66.53125,6.078125,1.6
Barking and Dagenham,65.8,75.6,56.5,11.0,4.5
Barnet,68.5,74.5,62.9,8.5,1.9
Bexley,75.1,82.1,68.5,7.6,2.9
Brent,69.5,76.0,62.6,7.5,3.1
Bromley,75.3,80.4,70.4,5.3,2.5
Camden,69.2,72.2,66.1,4.0,3.6
Croydon,75.4,81.8,69.5,4.1,4.8
Ealing,72.7,81.2,63.8,5.8,3.0
Enfield,73.0,80.4,66.0,3.8,3.3
Greenwich,72.1,77.9,66.3,8.1,5.4
Hackney,69.0,72.8,65.3,5.9,4.8
Hammersmith and Fulham,77.5,80.9,74.2,4.7,2.2
Haringey,71.3,77.6,64.8,5.7,5.6
Harrow,73.9,83.1,64.7,4.6,2.4
Havering,76.5,81.3,71.8,5.3,3.3
Hillingdon,73.2,80.7,65.9,5.8,2.5
Hounslow,74.2,84.7,63.2,4.3,2.9
Islington,72.6,78.2,67.0,4.5,4.5
Kensington and Chelsea,68.2,76.3,60.4,4.2,3.4
Kingston upon Thames,74.4,80.9,67.8,4.5,2.0
Lambeth,78.5,82.3,74.6,5.9,4.1
Lewisham,75.9,79.6,72.4,5.7,6.0
Merton,78.8,86.3,71.4,4.6,3.9
Newham,66.2,75.0,56.1,9.1,4.1
Redbridge,68.3,79.1,57.6,7.9,4.1
Richmond upon Thames,79.6,82.1,77.2,3.8,2.4
Southwark,74.2,79.8,68.6,7.7,4.7
Sutton,78.2,86.2,70.5,5.5,2.3
Tower Hamlets,70.4,80.3,59.6,9.2,3.2
Waltham Forest,73.1,76.8,69.4,5.4,3.5
Wandsworth,78.8,86.6,71.6,5.7,2.6
Westminster,65.6,68.6,62.3,8.8,3.5
