Code,Name,Year,Population,Inland Area Hectares,Total Area Hectares,Population per hectare,Square Kilometres,Population per square kilometre
E09000001,City of London,2008,7429,290.4,314.9,25.6,2.9,2558.3
E09000001,City of London,2009,7472,290.4,314.9,25.7,2.9,2573.1
E09000001,City of London,2010,7338,290.4,314.9,25.3,2.9,2526.9
E09000001,City of London,2011,7412,290.4,314.9,25.5,2.9,2552.4
E09000001,City of London,2012,7204,290.4,314.9,24.8,2.9,2480.8
E09000001,City of London,2013,6848,290.4,314.9,23.6,2.9,2358.2
E09000001,City of London,2014,6872,290.4,314.9,23.7,2.9,2366.4
E09000001,City of London,2015,7160,290.4,314.9,24.7,2.9,2465.6
E09000001,City of London,2016,7401,290.4,314.9,25.5,2.9,2548.6
E09000002,Barking and Dagenham,2008,172452,3610.8,3779.9,47.8,36.1,4776.0
E09000002,Barking and Dagenham,2009,177580,3610.8,3779.9,49.2,36.1,4918.0
E09000002,Barking and Dagenham,2010,182838,3610.8,3779.9,50.6,36.1,5063.7
E09000002,Barking and Dagenham,2011,187418,3610.8,3779.9,51.9,36.1,5190.5
E09000002,Barking and Dagenham,2012,190949,3610.8,3779.9,52.9,36.1,5288.3
E09000002,Barking and Dagenham,2013,194741,3610.8,3779.9,53.9,36.1,5393.3
E09000002,Barking and Dagenham,2014,198683,3610.8,3779.9,55.0,36.1,5502.5
E09000002,Barking and Dagenham,2015,202368,3610.8,3779.9,56.0,36.1,5604.5
E09000002,Barking and Dagenham,2016,206849,3610.8,3779.9,57.3,36.1,5728.6
E09000003,Barnet,2008,339212,8674.8,8674.8,39.1,86.7,3910.3
E09000003,Barnet,2009,345829,8674.8,8674.8,39.9,86.7,3986.6
E09000003,Barnet,2010,351438,8674.8,8674.8,40.5,86.7,4051.2
E09000003,Barnet,2011,357653,8674.8,8674.8,41.2,86.7,4122.9
E09000003,Barnet,2012,364071,8674.8,8674.8,42.0,86.7,4196.9
E09000003,Barnet,2013,369203,8674.8,8674.8,42.6,86.7,4256.0
E09000003,Barnet,2014,375030,8674.8,8674.8,43.2,86.7,4323.2
E09000003,Barnet,2015,379806,8674.8,8674.8,43.8,86.7,4378.3
E09000003,Barnet,2016,386198,8674.8,8674.8,44.5,86.7,4451.9
E09000004,Bexley,2008,226652,6058.1,6428.6,37.4,60.6,3741.3
E09000004,Bexley,2009,228146,6058.1,6428.6,37.7,60.6,3766.0
E09000004,Bexley,2010,230711,6058.1,6428.6,38.1,60.6,3808.3
E09000004,Bexley,2011,233002,6058.1,6428.6,38.5,60.6,3846.1
E09000004,Bexley,2012,234499,6058.1,6428.6,38.7,60.6,3870.9
E09000004,Bexley,2013,236915,6058.1,6428.6,39.1,60.6,3910.7
E09000004,Bexley,2014,240093,6058.1,6428.6,39.6,60.6,3963.2
E09000004,Bexley,2015,242370,6058.1,6428.6,40.0,60.6,4000.8
E09000004,Bexley,2016,244988,6058.1,6428.6,40.4,60.6,4044.0
E09000005,Brent,2008,290901,4323.3,4323.3,67.3,43.2,6728.7
E09000005,Brent,2009,298118,4323.3,4323.3,69.0,43.2,6895.7
E09000005,Brent,2010,304785,4323.3,4323.3,70.5,43.2,7049.9
E09000005,Brent,2011,313084,4323.3,4323.3,72.4,43.2,7241.8
E09000005,Brent,2012,315499,4323.3,4323.3,73.0,43.2,7297.7
E09000005,Brent,2013,318103,4323.3,4323.3,73.6,43.2,7357.9
E09000005,Brent,2014,321601,4323.3,4323.3,74.4,43.2,7438.8
E09000005,Brent,2015,324851,4323.3,4323.3,75.1,43.2,7514.0
E09000005,Brent,2016,329093,4323.3,4323.3,76.1,43.2,7612.1
E09000006,Bromley,2008,304968,15013.5,15013.5,20.3,150.1,2031.3
E09000006,Bromley,2009,306924,15013.5,15013.5,20.4,150.1,2044.3
E09000006,Bromley,2010,308560,15013.5,15013.5,20.6,150.1,2055.2
E09000006,Bromley,2011,311110,15013.5,15013.5,20.7,150.1,2072.2
E09000006,Bromley,2012,314592,15013.5,15013.5,21.0,150.1,2095.4
E09000006,Bromley,2013,318455,15013.5,15013.5,21.2,150.1,2121.1
E09000006,Bromley,2014,321834,15013.5,15013.5,21.4,150.1,2143.6
E09000006,Bromley,2015,325413,15013.5,15013.5,21.7,150.1,2167.5
E09000006,Bromley,2016,327445,15013.5,15013.5,21.8,150.1,2181.0
E09000007,Camden,2008,210273,2178.9,2178.9,96.5,21.8,9650.3
E09000007,Camden,2009,212924,2178.9,2178.9,97.7,21.8,9772.0
E09000007,Camden,2010,214725,2178.9,2178.9,98.5,21.8,9854.6
E09000007,Camden,2011,220087,2178.9,2178.9,101.0,21.8,10100.7
E09000007,Camden,2012,224961,2178.9,2178.9,103.2,21.8,10324.4
E09000007,Camden,2013,229718,2178.9,2178.9,105.4,21.8,10542.7
E09000007,Camden,2014,234845,2178.9,2178.9,107.8,21.8,10778.0
E09000007,Camden,2015,241058,2178.9,2178.9,110.6,21.8,11063.1
E09000007,Camden,2016,246180,2178.9,2178.9,113.0,21.8,11298.2
E09000008,Croydon,2008,349308,8650.4,8650.4,40.4,86.5,4038.1
E09000008,Croydon,2009,352763,8650.4,8650.4,40.8,86.5,4078.0
E09000008,Croydon,2010,357951,8650.4,8650.4,41.4,86.5,4138.0
E09000008,Croydon,2011,364815,8650.4,8650.4,42.2,86.5,4217.3
E09000008,Croydon,2012,368886,8650.4,8650.4,42.6,86.5,4264.4
E09000008,Croydon,2013,372752,8650.4,8650.4,43.1,86.5,4309.1
E09000008,Croydon,2014,376040,8650.4,8650.4,43.5,86.5,4347.1
E09000008,Croydon,2015,379031,8650.4,8650.4,43.8,86.5,4381.7
E09000008,Croydon,2016,382304,8650.4,8650.4,44.2,86.5,4419.5
E09000009,Ealing,2008,324022,5554.4,5554.4,58.3,55.5,5833.6
E09000009,Ealing,2009,329966,5554.4,5554.4,59.4,55.5,5940.6
E09000009,Ealing,2010,334073,5554.4,5554.4,60.1,55.5,6014.5
E09000009,Ealing,2011,339665,5554.4,5554.4,61.2,55.5,6115.2
E09000009,Ealing,2012,341022,5554.4,5554.4,61.4,55.5,6139.6
E09000009,Ealing,2013,342845,5554.4,5554.4,61.7,55.5,6172.5
E09000009,Ealing,2014,342469,5554.4,5554.4,61.7,55.5,6165.7
E09000009,Ealing,2015,343410,5554.4,5554.4,61.8,55.5,6182.6
E09000009,Ealing,2016,343547,5554.4,5554.4,61.9,55.5,6185.1
E09000010,Enfield,2008,297443,8083.2,8220.1,36.8,80.8,3679.8
E09000010,Enfield,2009,301971,8083.2,8220.1,37.4,80.8,3735.8
E09000010,Enfield,2010,307648,8083.2,8220.1,38.1,80.8,3806.0
E09000010,Enfield,2011,314011,8083.2,8220.1,38.8,80.8,3884.7
E09000010,Enfield,2012,317363,8083.2,8220.1,39.3,80.8,3926.2
E09000010,Enfield,2013,320600,8083.2,8220.1,39.7,80.8,3966.3
E09000010,Enfield,2014,324650,8083.2,8220.1,40.2,80.8,4016.4
E09000010,Enfield,2015,328509,8083.2,8220.1,40.6,80.8,4064.1
E09000010,Enfield,2016,331471,8083.2,8220.1,41.0,80.8,4100.7
E09000011,Greenwich,2008,239748,4733.4,5043.9,50.7,47.3,5065.0
E09000011,Greenwich,2009,243672,4733.4,5043.9,51.5,47.3,5147.9
E09000011,Greenwich,2010,249171,4733.4,5043.9,52.6,47.3,5264.1
E09000011,Greenwich,2011,255483,4733.4,5043.9,54.0,47.3,5397.5
E09000011,Greenwich,2012,260068,4733.4,5043.9,54.9,47.3,5494.3
E09000011,Greenwich,2013,264008,4733.4,5043.9,55.8,47.3,5577.6
E09000011,Greenwich,2014,268678,4733.4,5043.9,56.8,47.3,5676.2
E09000011,Greenwich,2015,274803,4733.4,5043.9,58.1,47.3,5805.6
E09000011,Greenwich,2016,279766,4733.4,5043.9,59.1,47.3,5910.5
E09000012,Hackney,2008,231041,1904.9,1904.9,121.3,19.0,12128.8
E09000012,Hackney,2009,236622,1904.9,1904.9,124.2,19.0,12421.7
E09000012,Hackney,2010,241739,1904.9,1904.9,126.9,19.0,12690.4
E09000012,Hackney,2011,247578,1904.9,1904.9,130.0,19.0,12996.9
E09000012,Hackney,2012,252515,1904.9,1904.9,132.6,19.0,13256.1
E09000012,Hackney,2013,257775,1904.9,1904.9,135.3,19.0,13532.2
E09000012,Hackney,2014,263546,1904.9,1904.9,138.4,19.0,13835.1
E09000012,Hackney,2015,269405,1904.9,1904.9,141.4,19.0,14142.7
E09000012,Hackney,2016,273922,1904.9,1904.9,143.8,19.0,14379.8
E09000013,Hammersmith and Fulham,2008,177088,1639.7,1715.4,108.0,16.4,10799.7
E09000013,Hammersmith and Fulham,2009,180116,1639.7,1715.4,109.8,16.4,10984.4
E09000013,Hammersmith and Fulham,2010,180842,1639.7,1715.4,110.3,16.4,11028.7
