major_category,value,date
Theft and Handling,24014,2008-01-01
Criminal Damage,8061,2008-01-01
Burglary,8396,2008-01-01
Violence Against the Person,12719,2008-01-01
Robbery,2887,2008-01-01
Drugs,5230,2008-01-01
Fraud or Forgery,2671,2008-01-01
Sexual Offences,652,2008-01-01
Other Notifiable Offences,789,2008-01-01
Theft and Handling,22980,2008-02-01
Criminal Damage,7677,2008-02-01
Burglary,7296,2008-02-01
Violence Against the Person,12123,2008-02-01
Robbery,2455,2008-02-01
Drugs,6071,2008-02-01
Fraud or Forgery,2654,2008-02-01
Sexual Offences,621,2008-02-01
Other Notifiable Offences,749,2008-02-01
Theft and Handling,23632,2008-03-01
Criminal Damage,7818,2008-03-01
Burglary,7485,2008-03-01
Violence Against the Person,13244,2008-03-01
Robbery,2585,2008-03-01
Drugs,5769,2008-03-01
Fraud or Forgery,0,2008-03-01
Sexual Offences,0,2008-03-01
Other Notifiable Offences,810,2008-03-01
Theft and Handling,23660,2008-04-01
Criminal Damage,8113,2008-04-01
Burglary,6827,2008-04-01
Violence Against the Person,12590,2008-04-01
Robbery,2498,2008-04-01
Drugs,5158,2008-04-01
Fraud or Forgery,0,2008-04-01
Sexual Offences,0,2008-04-01
Other Notifiable Offences,794,2008-04-01
Theft and Handling,23695,2008-05-01
Criminal Damage,8273,2008-05-01
Burglary,6889,2008-05-01
Violence Against the Person,14577,2008-05-01
Robbery,2490,2008-05-01
Drugs,5868,2008-05-01
Fraud or Forgery,0,2008-05-01
Sexual Offences,0,2008-05-01
Other Notifiable Offences,795,2008-05-01
Theft and Handling,23794,2008-06-01
Criminal Damage,7981,2008-06-01
Burglary,6989,2008-06-01
Violence Against the Person,14751,2008-06-01
Robbery,2448,2008-06-01
Drugs,5366,2008-06-01
Fraud or Forgery,0,2008-06-01
Sexual Offences,0,2008-06-01
Other Notifiable Offences,961,2008-06-01
Theft and Handling,24814,2008-07-01
Criminal Damage,7872,2008-07-01
Burglary,6983,2008-07-01
Violence Against the Person,15096,2008-07-01
Robbery,2390,2008-07-01
Drugs,6062,2008-07-01
Fraud or Forgery,0,2008-07-01
Sexual Offences,0,2008-07-01
Other Notifiable Offences,909,2008-07-01
Theft and Handling,22791,2008-08-01
Criminal Damage,7476,2008-08-01
Burglary,7163,2008-08-01
Violence Against the Person,13394,2008-08-01
Robbery,2275,2008-08-01
Drugs,5971,2008-08-01
Fraud or Forgery,0,2008-08-01
Sexual Offences,0,2008-08-01
Other Notifiable Offences,889,2008-08-01
Theft and Handling,22738,2008-09-01
Criminal Damage,7367,2008-09-01
Burglary,6607,2008-09-01
Violence Against the Person,12760,2008-09-01
Robbery,2206,2008-09-01
Drugs,5815,2008-09-01
Fraud or Forgery,0,2008-09-01
Sexual Offences,0,2008-09-01
Other Notifiable Offences,921,2008-09-01
Theft and Handling,25478,2008-10-01
Criminal Damage,7517,2008-10-01
Burglary,7229,2008-10-01
Violence Against the Person,13389,2008-10-01
