date,value
2008-01-01,65419
2008-02-01,62626
2008-03-01,61343
2008-04-01,59640
2008-05-01,62587
2008-06-01,62290
2008-07-01,64126
2008-08-01,59959
2008-09-01,58414
2008-10-01,63354
2008-11-01,61395
2008-12-01,57488
2009-01-01,59142
2009-02-01,54706
2009-03-01,63482
2009-04-01,59181
2009-05-01,62897
2009-06-01,63116
2009-07-01,63281
2009-08-01,58695
2009-09-01,57847
2009-10-01,61176
2009-11-01,59456
2009-12-01,54235
2010-01-01,54934
2010-02-01,55069
2010-03-01,63629
2010-04-01,60085
2010-05-01,62126
2010-06-01,62632
2010-07-01,63764
2010-08-01,59040
2010-09-01,59731
2010-10-01,62113
2010-11-01,60665
2010-12-01,51536
2011-01-01,57966
2011-02-01,54895
2011-03-01,61282
2011-04-01,58714
2011-05-01,62630
2011-06-01,61822
2011-07-01,62428
2011-08-01,59117
2011-09-01,58640
2011-10-01,63622
2011-11-01,64119
2011-12-01,59680
2012-01-01,62436
2012-02-01,56735
2012-03-01,67537
2012-04-01,58801
2012-05-01,64344
2012-06-01,62281
2012-07-01,63280
2012-08-01,62143
2012-09-01,56912
2012-10-01,61728
2012-11-01,62514
2012-12-01,58618
2013-01-01,58933
2013-02-01,55271
2013-03-01,57590
2013-04-01,55678
2013-05-01,56765
2013-06-01,56839
2013-07-01,60508
2013-08-01,57467
2013-09-01,54924
2013-10-01,59956
2013-11-01,58267
2013-12-01,54209
2014-01-01,55515
2014-02-01,51222
2014-03-01,57669
2014-04-01,53467
2014-05-01,56327
2014-06-01,57039
2014-07-01,58564
2014-08-01,55641
2014-09-01,56933
2014-10-01,60537
2014-11-01,59704
2014-12-01,57565
2015-01-01,57055
2015-02-01,53316
2015-03-01,60096
2015-04-01,56445
2015-05-01,61038
2015-06-01,60760
2015-07-01,61606
2015-08-01,58056
2015-09-01,57564
2015-10-01,62361
2015-11-01,62487
2015-12-01,60840
2016-01-01,58847
2016-02-01,56697
2016-03-01,59167
2016-04-01,58637
2016-05-01,63990
2016-06-01,62262
2016-07-01,65519
2016-08-01,62666
2016-09-01,61412
2016-10-01,63405
2016-11-01,61064
2016-12-01,62455
